Date,Open,High,Low,Close,Adj Close,Volume
2020-08-13,261.549988,265.160004,259.570007,261.299988,260.764130,17374000
2020-08-14,262.309998,262.649994,258.679993,261.239990,260.704254,14792700
2020-08-17,262.500000,264.100006,259.399994,261.160004,260.624451,13351100
2020-08-18,260.950012,265.149994,259.260010,262.339996,261.802002,18690400
2020-08-19,261.390015,267.910004,261.350006,262.589996,262.051483,23291500
2020-08-20,261.500000,269.630005,261.459991,269.010010,268.458344,20299700
2020-08-21,268.690002,270.489990,266.420013,267.010010,266.462463,15538600
2020-08-24,271.070007,277.250000,268.769989,271.390015,270.833466,23685600
2020-08-25,272.410004,283.089996,270.260010,280.820007,280.244110,42127200
2020-08-26,284.000000,304.670013,284.000000,303.910004,303.286774,69015200
2020-08-27,300.160004,301.230011,292.019989,293.220001,292.618683,30301300
2020-08-28,295.000000,297.230011,290.980011,293.660004,293.057800,17157400
2020-08-31,293.950012,296.880005,291.549988,293.200012,292.598755,17345100
2020-09-01,294.709991,301.489990,292.709991,295.440002,294.834137,17295900
2020-09-02,298.880005,303.600006,293.049988,302.500000,301.879669,24341400
2020-09-03,295.989990,297.600006,283.630005,291.119995,290.522980,32294100
2020-09-04,287.250000,289.000000,271.140015,282.730011,282.150208,30333700
2020-09-08,271.279999,279.299988,269.420013,271.160004,270.603912,24864000
2020-09-09,275.769989,278.480011,271.350006,273.720001,273.158691,22918800
2020-09-10,275.510010,279.160004,267.029999,268.089996,267.540222,24814700
2020-09-11,270.059998,271.390015,262.640015,266.609985,266.063263,18913900
2020-09-14,270.950012,276.640015,265.700012,266.149994,265.604187,24093800
2020-09-15,270.670013,274.519989,269.299988,272.420013,271.861359,18478500
2020-09-16,267.290009,272.440002,261.790009,263.519989,262.979584,29183400
2020-09-17,258.279999,261.500000,250.190002,254.820007,254.297440,31281400
2020-09-18,258.399994,259.200012,250.050003,252.529999,252.012131,28130800
2020-09-21,247.539993,249.949997,244.130005,248.149994,247.641098,24709400
2020-09-22,253.309998,255.320007,248.220001,254.750000,254.227585,30293100
2020-09-23,255.259995,257.989990,248.149994,249.020004,248.509338,19641300
2020-09-24,246.500000,252.240005,245.619995,249.529999,249.018280,20006800
2020-09-25,249.399994,255.750000,246.610001,254.820007,254.297440,18351300
2020-09-28,259.399994,259.600006,254.820007,256.820007,256.293365,18826300
2020-09-29,257.809998,263.329987,256.899994,261.790009,261.253143,20200200
2020-09-30,261.980011,266.079987,260.100006,261.899994,261.362915,20142500
2020-10-01,265.350006,268.329987,264.799988,266.630005,266.083221,20009800
2020-10-02,261.209991,265.149994,259.179993,259.940002,259.406921,16367600
